state,gender,year,name,number
AL,F,1910,Sadie,40
AL,F,1910,Mary,875
AR,F,1910,Vera,39
AR,F,1910,Marie,78
AR,F,1910,Lucille,66
CA,F,1910,Virginia,101
DC,F,1910,Margaret,72
GA,F,1910,Mildred,133
GA,F,1910,Vera,51
GA,F,1910,Sallie,92
IA,F,1910,Edith,43
IN,F,1910,Helen,324
IN,F,1910,Ethel,57
KS,F,1910,Hazel,78
KY,F,1910,Opal,55
MA,F,1910,Marie,130
MD,F,1910,Mildred,122
MI,F,1910,Doris,57
MN,F,1910,Bertha,38
MO,F,1910,Grace,132
MO,F,1910,Elizabeth,93
MS,F,1910,Mamie,66
NC,F,1910,Mae,76
NC,F,1910,Grace,93
NC,F,1910,Ruby,139
NC,F,1910,Addie,55
NC,F,1910,Eva,126
NC,F,1910,Mary,837
NE,F,1910,Lillian,39
NE,F,1910,Agnes,44
NE,F,1910,Irene,52
NJ,F,1910,Katherine,53
NY,F,1910,Yetta,46
NY,F,1910,Esther,233
NY,F,1910,Martha,167
NY,F,1910,Marion,387
OH,F,1910,Florence,278
OH,F,1910,Jennie,45
OH,F,1910,Ethel,169
OK,F,1910,Ruth,165
PA,F,1910,Victoria,71
PA,F,1910,Lillian,309
PA,F,1910,Harriet,76
PA,F,1910,Henrietta,45
PA,F,1910,Jean,192
SC,F,1910,Mattie,123
SC,F,1910,Laura,60
SC,F,1910,Mildred,55
SC,F,1910,Inez,50
SC,F,1910,Rose,49
SD,F,1910,Viola,38
TN,F,1910,Katie,37
TN,F,1910,Annie,163
TN,F,1910,Beatrice,59
TX,F,1910,Mary,895
TX,F,1910,Roberta,37
TX,F,1910,Marguerite,42
VA,F,1910,Pauline,60
VA,F,1910,Daisy,44
WI,F,1910,Elsie,48
WI,F,1910,Alice,165
AL,F,1911,Gladys,106
AL,F,1911,Marie,117
AR,F,1911,Opal,78
CT,F,1911,Gertrude,46
GA,F,1911,Irene,96
GA,F,1911,Estelle,52
IA,F,1911,Frances,96
IA,F,1911,Marjorie,66
IA,F,1911,Virginia,39
IA,F,1911,Emma,37
IL,F,1911,Angeline,44
IL,F,1911,Lena,60
IL,F,1911,Catherine,195
IN,F,1911,Alice,91
IN,F,1911,Irene,89
IN,F,1911,Geneva,38
IN,F,1911,Frances,103
KS,F,1911,Anna,54
KY,F,1911,Annie,47
LA,F,1911,Viola,65
MA,F,1911,Alice,331
MA,F,1911,Katherine,112
MA,F,1911,Grace,125
MD,F,1911,Elizabeth,133
MD,F,1911,Marie,100
ME,F,1911,Irene,42
MI,F,1911,Martha,73
MS,F,1911,Laura,48
MS,F,1911,Ruth,80
NC,F,1911,Lena,73
NJ,F,1911,Katherine,62
NJ,F,1911,Margaret,390
NY,F,1911,Catherine,590
NY,F,1911,Isabelle,49
NY,F,1911,Dorothy,1101
NY,F,1911,Molly,38
NY,F,1911,Isabel,57
NY,F,1911,Anita,40
OH,F,1911,Bessie,60
OH,F,1911,Charlotte,45
OH,F,1911,Ruth,573
OK,F,1911,Hazel,133
PA,F,1911,Flora,39
PA,F,1911,Viola,151
PA,F,1911,Arlene,41
PA,F,1911,Rebecca,40
SC,F,1911,Addie,42
SC,F,1911,Pauline,42
TN,F,1911,Ruby,201
TN,F,1911,Helen,90
TN,F,1911,Grace,87
TX,F,1911,Katie,49
TX,F,1911,Eunice,59
VA,F,1911,Edna,113
VA,F,1911,Louise,184
VA,F,1911,Ida,62
VT,F,1911,Helen,38
WI,F,1911,Anna,93
WI,F,1911,Marion,66
AL,F,1912,Mable,56
AL,F,1912,Lillie,199
AL,F,1912,Jewel,47
AR,F,1912,Mabel,47
AR,F,1912,Virginia,73
AR,F,1912,Bertha,85
CA,F,1912,Lena,37
CA,F,1912,Virginia,175
CA,F,1912,Mabel,50
CA,F,1912,Anna,76
CT,F,1912,Eleanor,66
CT,F,1912,Beatrice,38
GA,F,1912,Lillie,295
GA,F,1912,Willie,402
GA,F,1912,Ellen,57
IA,F,1912,Opal,44
IL,F,1912,Loretta,94
IN,F,1912,Helen,549
KS,F,1912,Anna,77
KS,F,1912,Esther,82
KY,F,1912,Nannie,60
KY,F,1912,Bernice,45
LA,F,1912,Laura,64
LA,F,1912,Frances,75
MA,F,1912,Laura,65
MA,F,1912,Elsie,69
MA,F,1912,Nellie,44
MD,F,1912,Alice,76
MD,F,1912,Catherine,140
MI,F,1912,Julia,64
MN,F,1912,Pearl,54
MN,F,1912,Anne,58
MO,F,1912,Lorene,37
MS,F,1912,Alice,103
MS,F,1912,Lucy,52
MS,F,1912,Susie,81
MT,F,1912,Margaret,81
MT,F,1912,Ruth,52
NC,F,1912,Juanita,44
NC,F,1912,Lottie,53
NC,F,1912,Josephine,74
NC,F,1912,Christine,43
NC,F,1912,Mae,87
NE,F,1912,Mabel,51
NJ,F,1912,Minnie,46
NJ,F,1912,Martha,55
NJ,F,1912,Harriet,47
NJ,F,1912,Florence,265
NJ,F,1912,Genevieve,39
NJ,F,1912,Doris,73
NY,F,1912,Elizabeth,868
NY,F,1912,Ella,87
NY,F,1912,Augusta,47
NY,F,1912,Lillian,835
NY,F,1912,Ellen,96
NY,F,1912,Carmela,112
NY,F,1912,Inez,42
OH,F,1912,Kathryn,171
OH,F,1912,Ann,164
OH,F,1912,Lucille,215
OH,F,1912,Lena,53
OK,F,1912,Cora,40
OK,F,1912,Lena,65
PA,F,1912,Pearl,203
PA,F,1912,Lena,137
PA,F,1912,Claire,69
SC,F,1912,Beatrice,79
SC,F,1912,Lois,53
SC,F,1912,Eunice,45
SD,F,1912,Elsie,37
TN,F,1912,Stella,46
TN,F,1912,Grace,107
TX,F,1912,Nell,49
TX,F,1912,Bonnie,66
TX,F,1912,Susie,53
TX,F,1912,Marguerite,74
TX,F,1912,Carmen,51
VA,F,1912,Mamie,81
WI,F,1912,Lillian,114
WI,F,1912,Hilda,49
WV,F,1912,Goldie,55
WV,F,1912,Marie,68
AL,F,1913,Florence,89
AL,F,1913,Louise,223
AL,F,1913,Lola,55
AL,F,1913,Johnnie,70
AR,F,1913,Sarah,57
CA,F,1913,Katherine,102
CT,F,1913,Ann,68
DE,F,1913,Helen,59
GA,F,1913,Helen,170
ID,F,1913,Helen,65
IL,F,1913,Anna,505
IL,F,1913,Faye,55
IN,F,1913,Anne,48
IN,F,1913,Lois,91
KS,F,1913,Ruby,101
KS,F,1913,Catherine,47
KY,F,1913,Elsie,99
KY,F,1913,Ann,43
LA,F,1913,Lena,80
LA,F,1913,Leona,66
LA,F,1913,Frances,80
MA,F,1913,Annie,49
MD,F,1913,Thelma,94
ME,F,1913,Frances,56
MI,F,1913,Jean,107
MI,F,1913,Myrtle,82
MI,F,1913,Olive,40
MI,F,1913,Florence,250
MI,F,1913,Barbara,56
MI,F,1913,Mildred,289
MO,F,1913,Martha,152
MO,F,1913,Sylvia,64
MS,F,1913,Ruby,204
MS,F,1913,Alice,110
MS,F,1913,Anna,63
MS,F,1913,Agnes,37
NC,F,1913,Pauline,146
NC,F,1913,Sadie,92
NC,F,1913,Beulah,102
NC,F,1913,Ann,44
ND,F,1913,Gladys,62
ND,F,1913,Helen,118
NE,F,1913,Vera,57
NJ,F,1913,Mary,1078
NJ,F,1913,Lucy,61
NJ,F,1913,Jane,56
NJ,F,1913,Beatrice,116
NM,F,1913,Maria,46
NY,F,1913,Edith,474
NY,F,1913,Rita,327
NY,F,1913,Patricia,64
NY,F,1913,Ellen,134
NY,F,1913,Gertrude,582
NY,F,1913,Etta,51
NY,F,1913,Ida,356
OH,F,1913,Inez,47
OH,F,1913,Isabelle,41
OH,F,1913,Marcella,62
OH,F,1913,Jessie,62
OK,F,1913,Ida,63
OK,F,1913,Mable,43
OR,F,1913,Helen,131
PA,F,1913,Sarah,352
PA,F,1913,Ada,75
PA,F,1913,Marian,203
PA,F,1913,Cecilia,59
PA,F,1913,Antoinette,79
PA,F,1913,Henrietta,78
PA,F,1913,Elsie,267
SC,F,1913,Eloise,41
SC,F,1913,Gertrude,54
SC,F,1913,Alma,58
SC,F,1913,Bernice,56
SC,F,1913,Ella,95
SC,F,1913,Elizabeth,250
SD,F,1913,Myrtle,38
TN,F,1913,Annie,221
TN,F,1913,Dora,43
TN,F,1913,Carrie,58
TN,F,1913,Pauline,146
TN,F,1913,Florence,77
TN,F,1913,Frances,189
TX,F,1913,Eva,150
TX,F,1913,Hazel,265
TX,F,1913,Mattie,176
TX,F,1913,Jewell,71
TX,F,1913,Margaret,341
TX,F,1913,Bessie,198
UT,F,1913,Mary,82
UT,F,1913,Dorothy,48
VA,F,1913,Eleanor,46
VA,F,1913,Minnie,68
VA,F,1913,Virginia,448
WA,F,1913,Edna,57
WA,F,1913,Edith,45
WI,F,1913,Mildred,215
WV,F,1913,Mae,38
WV,F,1913,Pearl,73
AL,F,1914,Lela,53
AL,F,1914,Dora,51
AR,F,1914,Addie,38
CO,F,1914,Florence,56
CT,F,1914,Eleanor,111
CT,F,1914,Mary,851
FL,F,1914,Bessie,47
FL,F,1914,Florence,52
GA,F,1914,Viola,104
GA,F,1914,Nellie,156
GA,F,1914,Pauline,148
GA,F,1914,Dorothy,270
GA,F,1914,Elsie,59
GA,F,1914,Beatrice,186
GA,F,1914,Willie,480
IA,F,1914,Emma,43
IL,F,1914,Opal,105
IL,F,1914,Charlotte,175
IL,F,1914,Verna,72
IL,F,1914,Marguerite,114
IL,F,1914,Winifred,64
IL,F,1914,Ella,75
IL,F,1914,Freda,49
IL,F,1914,Eloise,38
IL,F,1914,Eileen,104
KS,F,1914,Mildred,231
KS,F,1914,Vivian,48
KS,F,1914,Hazel,107
KY,F,1914,Flora,69
KY,F,1914,Myrtle,132
LA,F,1914,Mamie,61
LA,F,1914,Elizabeth,90
LA,F,1914,Julia,74
LA,F,1914,Helen,190
LA,F,1914,Elsie,56
LA,F,1914,Pauline,48
MA,F,1914,Nora,39
MA,F,1914,Sadie,44
MA,F,1914,Lena,119
MA,F,1914,Muriel,102
ME,F,1914,Louise,50
MI,F,1914,Agnes,118
MI,F,1914,Ellen,93
MN,F,1914,Doris,120
MN,F,1914,Irene,207
MN,F,1914,Olga,39
MN,F,1914,Loretta,58
MO,F,1914,Frances,283
MO,F,1914,Juanita,115
MO,F,1914,Ethel,143
MO,F,1914,Laura,65
MO,F,1914,Bernice,148
MO,F,1914,Marie,329
MS,F,1914,Nancy,52
MS,F,1914,Ada,47
NC,F,1914,Jessie,157
NC,F,1914,Florence,101
NC,F,1914,Laura,118
ND,F,1914,Alice,87
NE,F,1914,Wilma,59
NE,F,1914,Kathryn,39
NE,F,1914,Vera,46
NH,F,1914,Doris,55
NJ,F,1914,Bertha,119
NY,F,1914,Millie,91
NY,F,1914,Mollie,141
NY,F,1914,Sue,50
NY,F,1914,Ray,42
NY,F,1914,Vivian,191
NY,F,1914,Thelma,211
NY,F,1914,Beatrice,615
NY,F,1914,Doris,455
NY,F,1914,Paula,38
NY,F,1914,Florence,1337
OH,F,1914,Velma,98
OH,F,1914,Verna,49
OK,F,1914,Lillian,97
OK,F,1914,Minnie,67
PA,F,1914,Rebecca,69
PA,F,1914,Angeline,99
PA,F,1914,Lucy,173
PA,F,1914,Laura,291
PA,F,1914,Maxine,56
SC,F,1914,Mattie,168
SC,F,1914,Nancy,52
SC,F,1914,Hattie,149
SD,F,1914,Gladys,60
TN,F,1914,Marjorie,40
TN,F,1914,Ora,47
TX,F,1914,Vivian,127
TX,F,1914,Francisca,69
TX,F,1914,Bernice,187
TX,F,1914,Ella,159
TX,F,1914,Christine,94
TX,F,1914,Julia,157
VA,F,1914,Mattie,110
VA,F,1914,Julia,105
VA,F,1914,Ethel,223
VA,F,1914,Mae,61
VA,F,1914,Ruby,218
VA,F,1914,Inez,63
WA,F,1914,Thelma,49
WA,F,1914,Lillian,38
WI,F,1914,Myrtle,111
WI,F,1914,Gertrude,171
WI,F,1914,Betty,42
WV,F,1914,Beulah,66
AL,F,1915,Jewel,67
AL,F,1915,Mabel,50
AL,F,1915,Etta,40
AR,F,1915,Alma,84
AR,F,1915,Elsie,74
AR,F,1915,Alice,121
AR,F,1915,Pearl,100
AR,F,1915,Vivian,59
CA,F,1915,Lucile,38
CA,F,1915,Eleanor,219
CA,F,1915,Velma,40
CO,F,1915,Edith,63
CO,F,1915,Edna,53
CO,F,1915,Dorothy,226
CT,F,1915,Frances,175
CT,F,1915,Rita,83
CT,F,1915,Irene,129
FL,F,1915,Dorothy,176
GA,F,1915,Audrey,44
GA,F,1915,Cleo,44
GA,F,1915,Roberta,42
GA,F,1915,Ophelia,39
GA,F,1915,Mabel,68
GA,F,1915,Opal,50
IL,F,1915,Edna,395
IL,F,1915,Bonnie,47
IL,F,1915,Geneva,84
IL,F,1915,Pearl,244
IL,F,1915,Irene,613
IL,F,1915,Victoria,96
IL,F,1915,Emma,190
IN,F,1915,Naomi,65
IN,F,1915,Irene,204
IN,F,1915,Gertrude,115
IN,F,1915,Dolores,43
KS,F,1915,Marie,136
KS,F,1915,Beulah,64
KY,F,1915,Nancy,123
KY,F,1915,Rebecca,60
KY,F,1915,Flossie,45
LA,F,1915,Gladys,179
LA,F,1915,Willie,141
LA,F,1915,Hattie,68
LA,F,1915,Rosie,66
LA,F,1915,Alice,173
MA,F,1915,Isabel,61
MA,F,1915,Julia,183
MA,F,1915,Anna,659
MA,F,1915,Marie,348
MA,F,1915,Doris,409
MD,F,1915,Jean,43
MI,F,1915,Rose,279
MI,F,1915,Beatrice,199
MI,F,1915,Arlene,58
MI,F,1915,Laura,79
MN,F,1915,Margaret,620
MO,F,1915,Beulah,124
MO,F,1915,Emma,118
MO,F,1915,Marian,56
MO,F,1915,Jewell,68
MS,F,1915,Vera,77
MS,F,1915,Ella,89
MS,F,1915,Willie,309
MS,F,1915,Hazel,100
MT,F,1915,Mary,244
NC,F,1915,Pauline,289
NC,F,1915,Emma,192
NC,F,1915,Eva,187
NC,F,1915,Nell,58
ND,F,1915,Grace,44
ND,F,1915,Elsie,69
NE,F,1915,Vivian,51
NE,F,1915,Anna,97
NE,F,1915,Rose,95
NJ,F,1915,Olga,101
NJ,F,1915,Anna,932
NJ,F,1915,Angelina,100
NJ,F,1915,Mae,100
NY,F,1915,Millie,118
NY,F,1915,Geraldine,160
NY,F,1915,Dorothy,2725
NY,F,1915,Eileen,196
NY,F,1915,Rae,61
NY,F,1915,Alice,1005
NY,F,1915,Vera,232
NY,F,1915,Mae,189
NY,F,1915,Sarah,384
OH,F,1915,Louise,353
OH,F,1915,Emily,68
OH,F,1915,Rosemary,96
OH,F,1915,Elsie,226
OK,F,1915,Esther,103
OK,F,1915,Lorene,96
